Player,Span,Mat,Start,Sub,Pts,Tries,Conv,Pens,Drop,GfM,Won,Lost,Draw,%
RH McCaw (NZ),2001-2015,148,141,7,135,27,0,0,0,0,131,15,2,89.18
AW Jones (Lions/Wales),2006-2020,147,134,13,45,9,0,0,0,0,73,72,2,50.34
SM Parisse (Italy),2002-2019,142,139,3,83,16,0,0,1,0,35,106,1,25
BG O'Driscoll (Ire/Lions),1999-2014,141,140,1,250,47,0,0,5,0,82,57,2,58.86
GM Gregan (Aust),1994-2007,139,133,6,99,18,0,0,3,0,93,44,2,67.62
GD Jenkins (Lions/Wales),2002-2016,134,98,36,20,4,0,0,0,0,61,70,3,46.64
KF Mealamu (NZ),2002-2015,132,77,55,60,12,0,0,0,0,114,16,2,87.12
RJR O'Gara (Ire/Lions),2000-2013,130,87,43,1083,16,176,202,15,0,73,54,3,57.3
ST Moore (Aust),2005-2017,129,97,32,40,8,0,0,0,0,73,54,2,57.36
V Matfield (SA),2001-2015,127,121,6,35,7,0,0,0,0,79,46,2,62.99
KJ Read (NZ),2008-2019,127,120,7,130,26,0,0,0,0,107,16,4,85.82
RD Best (Ire),2005-2019,124,102,22,60,12,0,0,0,0,73,48,3,60.08
BG Habana (SA),2004-2016,124,122,2,335,67,0,0,0,0,79,42,3,64.91
FA Vlaicu (Rom),2006-2020,124,99,25,992,14,172,191,4,0,77,44,3,63.3
D Kacharava (Georg),2006-2020,122,104,18,125,25,0,0,0,0,79,40,3,65.98
AP Ashley-Cooper (Aust),2005-2019,121,113,8,195,39,0,0,0,0,68,50,3,57.43
ML Castrogiovanni (Italy),2002-2016,119,91,28,60,12,0,0,0,0,30,88,1,25.63
J Leonard (Eng/Lions),1990-2004,119,104,15,5,1,0,0,0,0,89,28,2,75.63
A Zanni (Italy),2005-2020,119,93,26,20,4,0,0,0,0,31,87,1,26.47
F Pelous (Fra),1995-2007,118,106,12,40,8,0,0,0,0,79,38,1,67.37
TD Woodcock (NZ),2002-2015,118,105,13,50,10,0,0,0,0,102,15,1,86.86
T Mtawarira (SA),2008-2019,117,102,15,10,2,0,0,0,0,74,38,5,65.38
SL Whitelock (NZ),2010-2019,117,97,20,30,6,0,0,0,0,101,12,4,88.03
NC Sharpe (Aust),2002-2012,116,109,7,40,8,0,0,0,0,70,44,2,61.2
Y Kushnarev (Russ),2005-2020,115,99,16,784,11,150,141,2,0,54,59,2,47.82
M Kvirikashvili (Georg),2003-2018,115,94,21,840,17,148,150,3,0,72,40,3,63.91
PJ O'Connell (Ire/Lions),2002-2015,115,106,9,40,8,0,0,0,0,69,44,2,60.86
M Bortolami (Italy),2001-2015,112,92,20,35,7,0,0,0,0,29,82,1,26.33
DW Carter (NZ),2003-2015,112,106,6,1598,29,293,281,8,0,99,12,1,88.83
RW Ford (Lions/Scot),2004-2017,111,88,23,25,5,0,0,0,0,46,64,1,41.89
PJP Sella (Fra),1982-1995,111,110,1,125,30,0,0,0,0,70,36,5,65.31
JW Smit (SA),2000-2011,111,94,17,40,8,0,0,0,0,69,40,2,63.06
GB Smith (Aust),2000-2013,111,93,18,45,9,0,0,0,0,65,44,2,59.45
SW Genia (Aust),2009-2019,110,93,17,100,20,0,0,0,0,55,52,3,51.36
SM Jones (Lions/Wales),1998-2011,110,91,19,970,7,160,198,7,0,44,63,3,41.36
SM Kepu (Aust),2008-2019,110,73,37,20,4,0,0,0,0,57,49,4,53.63
J de Villiers (SA),2002-2015,109,105,4,135,27,0,0,0,0,71,35,3,66.51
C Fercu (Rom),2005-2020,109,107,2,171,33,1,1,0,0,73,33,3,68.34
CD Paterson (Scot),1999-2011,109,96,13,809,22,90,170,3,0,43,65,1,39.9
OT Franks (NZ),2009-2019,108,98,10,0,0,0,0,0,0,91,13,4,86.11
JJ Hayes (Ire/Lions),2000-2011,107,100,7,10,2,0,0,0,0,67,37,3,64.01
M Bergamasco (Italy),1998-2015,106,90,16,75,15,0,0,0,0,31,75,0,29.24
SF Lamont (Scot),2004-2016,105,93,12,70,14,0,0,0,0,44,60,1,42.38
LL Ghiraldini (Italy),2006-2019,104,84,20,30,6,0,0,0,0,20,84,0,19.23
ME Williams (Lions/Wales),1996-2012,104,88,16,73,14,0,0,1,0,45,56,3,44.71
MJ Giteau (Aust),2002-2016,103,89,14,698,30,106,108,4,0,59,42,2,58.25
V Gresev (Russ),2006-2020,103,93,10,100,20,0,0,0,0,45,57,1,44.17
A Lo Cicero Vaina (Italy),2000-2013,103,79,24,40,8,0,0,0,0,32,70,1,31.55
MA Nonu (NZ),2003-2015,103,87,16,155,31,0,0,0,0,91,10,2,89.32
G Thomas (Lions/Wales),1995-2007,103,97,6,205,41,0,0,0,0,51,51,1,50
SJ Larkham (Aust),1996-2007,102,97,5,135,25,2,0,2,0,68,31,3,68.13
PC Montgomery (SA),1997-2008,102,90,12,893,25,153,148,6,0,67,34,1,66.17
DI Campese (Aust),1982-1996,101,100,1,315,64,8,7,2,0,67,32,2,67.32
G Chkhaidze (Georg),2002-2019,101,78,23,35,7,0,0,0,0,66,32,3,66.83
A Troncon (Italy),1994-2007,101,94,7,95,19,0,0,0,0,33,67,1,33.16
GNBS Uva (Port),2004-2018,101,95,6,45,9,0,0,0,0,40,56,5,42.07
